['blueprint_mg'] 			 		 	 = {['name'] = 'blueprint_mg', 							['label'] = 'Blueprint - MG', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_mg.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the MG.' },
['blueprint_specialcarbine'] 			 		 	 = {['name'] = 'blueprint_specialcarbine', 							['label'] = 'Blueprint - Special Carbine', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_specialcarbine.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Special Carbine.' },
['blueprint_assaultrifle_mk2'] 			 		 	 = {['name'] = 'blueprint_assaultrifle_mk2', 							['label'] = 'Blueprint - Assault Rifle MK2', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_assaultrifle_mk2.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Assault Rifle.' },
['blueprint_smg'] 			 		 	 = {['name'] = 'blueprint_smg', 							['label'] = 'Blueprint - SMG', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_smg.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the SMG.' },
['sliced_onion'] 			 		 	 = {['name'] = 'sliced_onion', 							['label'] = 'Sliced onion', 				    ['weight'] = 30, 		['type'] = 'item', 		['image'] = 'sliced_onion.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = '' },
['burger_donut'] 			 		 	 = {['name'] = 'burger_donut', 							['label'] = 'Donut', 				    ['weight'] = 300, 		['type'] = 'item', 		['image'] = 'burger_donut.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = '' },
['red_grapes'] 			 		 	 = {['name'] = 'red_grapes', 							['label'] = 'Red grapes', 				    ['weight'] = 200, 		['type'] = 'item', 		['image'] = 'red_grapes.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = '' },
['handcuffs'] 			 		 	 = {['name'] = 'handcuffs', 							['label'] = 'Handcuffs', 				    ['weight'] = 200, 		['type'] = 'item', 		['image'] = 'handcuffs.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = '' },
['white_wine_juice'] 			 		 	 = {['name'] = 'white_wine_juice', 							['label'] = 'White wine juice', 				    ['weight'] = 1000, 		['type'] = 'item', 		['image'] = 'white_wine_juice.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = '' },
['blueprint_assaultrifle'] 			 		 	 = {['name'] = 'blueprint_assaultrifle', 							['label'] = 'Blueprint - Assault Rifle', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_assaultrifle.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Assault Rifle.' },
['blueprint_minismg'] 			 		 	 = {['name'] = 'blueprint_minismg', 							['label'] = 'Blueprint - Mini SMG', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_minismg.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Mini SMG.' },
['white_grapes'] 			 		 	 = {['name'] = 'white_grapes', 							['label'] = 'White grapes', 				    ['weight'] = 200, 		['type'] = 'item', 		['image'] = 'white_grapes.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = '' },
['blueprint_marksmanrifle'] 			 		 	 = {['name'] = 'blueprint_marksmanrifle', 							['label'] = 'Blueprint - Marksman Rifle', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_marksmanrifle.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Marksman Rifle.' },
['blueprint_revolver_mk2'] 			 		 	 = {['name'] = 'blueprint_revolver_mk2', 							['label'] = 'Blueprint - Revolver MK2', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_revolver_mk2.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Revolver MK2.' },
['blueprint_heavyshotgun'] 			 		 	 = {['name'] = 'blueprint_heavyshotgun', 							['label'] = 'Blueprint - Heavy Shotgun', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_heavyshotgun.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Heavy Shotgun.' },
['blueprint_combatshotgun'] 			 		 	 = {['name'] = 'blueprint_combatshotgun', 							['label'] = 'Blueprint - Combat Shotgun', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_combatshotgun.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Combat Shotgun.' },
['blueprint_carbinerifle_mk2'] 			 		 	 = {['name'] = 'blueprint_carbinerifle_mk2', 							['label'] = 'Blueprint - Carbine Rifle MK2', 				    ['weight'] = 100, 		['type'] = 'item', 		['image'] = 'blueprint_carbinerifle_mk2.png', 		        ['unique'] = false, 	['useable'] = false, 	['shouldClose'] = true,   ['combinable'] = nil,   ['description'] = 'Blueprint for the Carbine Rifle MK2.' },
